Size	P1	P2	P3	P4
50	6689.52	3459.445	468882.28	962542.75
100	4540.145	7516.685	1204619.0	1464864.8
150	739.555	292.85	661188.44	1704328.1
200	1044.465	335.085	1254307.0	2964966.5
250	1400.675	386.43	1263145.9	3570865.5
300	1476.17	401.485	1577200.5	4720726.5
350	1630.05	467.93	2100487.0	6130756.5
400	1654.26	467.92	2773327.8	7884596.0
450	1778.055	507.155	3259559.0	9594804.0
500	1841.43	531.295	3889787.8	1.1421379E7
550	1844.435	516.185	5030410.0	1.4211935E7
600	1814.24	531.31	5468749.0	1.5710857E7
650	2016.5	570.575	6514651.0	1.8552152E7
700	1877.695	576.505	7366908.0	2.0525522E7
750	1916.88	534.33	7607108.5	2.1896154E7
800	1904.815	576.58	8626918.0	2.4984094E7
850	1938.045	576.61	9819431.0	2.7829524E7
900	1935.06	649.005	1.0387942E7	3.037491E7
950	1983.31	667.145	1.1360777E7	3.3023306E7
1000	1977.33	636.895	1.2443092E7	3.5638508E7
